
0it [00:00, ?it/s]
424it [07:01,  3.30it/s, bound:0 nc:  1 ncall:1.2e+03 eff:35.4% logz-ratio=144.16+/-0.06 dlogz:1.407>0.1]
429it [07:02,  3.51it/s, bound:0 nc:  3 ncall:1.2e+03 eff:35.5% logz-ratio=144.18+/-0.05 dlogz:1.390>0.1]
431it [07:03,  2.75it/s, bound:0 nc:  5 ncall:1.2e+03 eff:35.4% logz-ratio=144.18+/-0.05 dlogz:1.383>0.1]
433it [07:05,  2.29it/s, bound:0 nc:  5 ncall:1.2e+03 eff:35.4% logz-ratio=144.19+/-0.05 dlogz:1.377>0.1]
436it [07:06,  2.39it/s, bound:0 nc:  3 ncall:1.2e+03 eff:35.5% logz-ratio=144.19+/-0.05 dlogz:1.367>0.1]
439it [07:07,  2.46it/s, bound:0 nc:  4 ncall:1.2e+03 eff:35.4% logz-ratio=144.20+/-0.05 dlogz:1.357>0.1]
443it [07:08,  2.71it/s, bound:0 nc:  1 ncall:1.2e+03 eff:35.6% logz-ratio=144.21+/-0.05 dlogz:1.344>0.1]
446it [07:09,  2.71it/s, bound:0 nc:  2 ncall:1.3e+03 eff:35.6% logz-ratio=144.22+/-0.05 dlogz:1.335>0.1]
449it [07:10,  2.79it/s, bound:0 nc:  2 ncall:1.3e+03 eff:35.6% logz-ratio=144.22+/-0.05 dlogz:1.325>0.1]
453it [07:11,  3.06it/s, bound:0 nc:  1 ncall:1.3e+03 eff:35.7% logz-ratio=144.23+/-0.05 dlogz:1.312>0.1]
456it [07:12,  2.90it/s, bound:0 nc:  6 ncall:1.3e+03 eff:35.7% logz-ratio=144.24+/-0.05 dlogz:1.303>0.1]
460it [07:13,  3.05it/s, bound:0 nc:  3 ncall:1.3e+03 eff:35.8% logz-ratio=144.25+/-0.05 dlogz:1.291>0.1]
465it [07:14,  3.41it/s, bound:0 nc:  1 ncall:1.3e+03 eff:36.0% logz-ratio=144.26+/-0.05 dlogz:1.275>0.1]
468it [07:15,  3.22it/s, bound:0 nc:  9 ncall:1.3e+03 eff:35.8% logz-ratio=144.27+/-0.05 dlogz:1.266>0.1]
469it [07:16,  1.95it/s, bound:0 nc:  6 ncall:1.3e+03 eff:35.7% logz-ratio=144.27+/-0.05 dlogz:1.263>0.1]
471it [07:18,  1.90it/s, bound:0 nc:  1 ncall:1.3e+03 eff:35.8% logz-ratio=144.27+/-0.05 dlogz:1.257>0.1]
473it [07:19,  1.89it/s, bound:0 nc:  7 ncall:1.3e+03 eff:35.7% logz-ratio=144.28+/-0.05 dlogz:1.251>0.1]
477it [07:20,  2.24it/s, bound:0 nc:  4 ncall:1.3e+03 eff:35.7% logz-ratio=144.29+/-0.05 dlogz:1.239>0.1]
479it [07:21,  2.10it/s, bound:0 nc:  5 ncall:1.3e+03 eff:35.7% logz-ratio=144.29+/-0.05 dlogz:1.233>0.1]
483it [07:22,  2.38it/s, bound:0 nc:  1 ncall:1.3e+03 eff:35.8% logz-ratio=144.30+/-0.05 dlogz:1.221>0.1]
486it [07:24,  2.01it/s, bound:0 nc: 13 ncall:1.4e+03 eff:35.6% logz-ratio=144.31+/-0.05 dlogz:1.213>0.1]
489it [07:25,  2.13it/s, bound:0 nc:  4 ncall:1.4e+03 eff:35.5% logz-ratio=144.31+/-0.05 dlogz:1.204>0.1]
492it [07:26,  2.26it/s, bound:0 nc:  3 ncall:1.4e+03 eff:35.6% logz-ratio=144.32+/-0.05 dlogz:1.195>0.1]
497it [07:27,  2.61it/s, bound:0 nc:  8 ncall:1.4e+03 eff:35.6% logz-ratio=144.33+/-0.05 dlogz:1.181>0.1]
498it [07:29,  1.69it/s, bound:0 nc:  2 ncall:1.4e+03 eff:35.6% logz-ratio=144.33+/-0.05 dlogz:1.178>0.1]
500it [07:30,  1.71it/s, bound:0 nc:  7 ncall:1.4e+03 eff:35.6% logz-ratio=144.33+/-0.05 dlogz:1.173>0.1]
502it [07:31,  1.77it/s, bound:0 nc:  5 ncall:1.4e+03 eff:35.5% logz-ratio=144.34+/-0.05 dlogz:1.167>0.1]
508it [07:32,  2.22it/s, bound:0 nc:  3 ncall:1.4e+03 eff:35.7% logz-ratio=144.35+/-0.05 dlogz:1.151>0.1]
512it [07:33,  2.49it/s, bound:0 nc:  4 ncall:1.4e+03 eff:35.8% logz-ratio=144.36+/-0.05 dlogz:1.140>0.1]
514it [07:34,  2.28it/s, bound:0 nc:  6 ncall:1.4e+03 eff:35.7% logz-ratio=144.36+/-0.05 dlogz:1.134>0.1]
516it [07:35,  2.10it/s, bound:0 nc:  4 ncall:1.4e+03 eff:35.7% logz-ratio=144.37+/-0.05 dlogz:1.129>0.1]
521it [07:36,  2.48it/s, bound:0 nc:  1 ncall:1.5e+03 eff:35.9% logz-ratio=144.38+/-0.05 dlogz:1.116>0.1]
525it [07:38,  2.67it/s, bound:0 nc:  5 ncall:1.5e+03 eff:35.8% logz-ratio=144.38+/-0.05 dlogz:1.105>0.1]
527it [07:39,  2.34it/s, bound:0 nc:  3 ncall:1.5e+03 eff:35.9% logz-ratio=144.39+/-0.05 dlogz:1.100>0.1]
530it [07:40,  2.40it/s, bound:0 nc:  3 ncall:1.5e+03 eff:35.8% logz-ratio=144.39+/-0.05 dlogz:1.092>0.1]
532it [07:41,  2.16it/s, bound:0 nc: 11 ncall:1.5e+03 eff:35.7% logz-ratio=144.40+/-0.05 dlogz:1.087>0.1]
533it [07:42,  1.45it/s, bound:0 nc:  2 ncall:1.5e+03 eff:35.7% logz-ratio=144.40+/-0.05 dlogz:1.084>0.1]
537it [07:43,  1.77it/s, bound:0 nc:  4 ncall:1.5e+03 eff:35.7% logz-ratio=144.41+/-0.05 dlogz:1.074>0.1]
538it [07:44,  1.34it/s, bound:0 nc:  9 ncall:1.5e+03 eff:35.6% logz-ratio=144.41+/-0.05 dlogz:1.071>0.1]
540it [07:45,  1.48it/s, bound:0 nc:  6 ncall:1.5e+03 eff:35.5% logz-ratio=144.41+/-0.05 dlogz:1.066>0.1]
542it [07:47,  1.58it/s, bound:0 nc:  4 ncall:1.5e+03 eff:35.5% logz-ratio=144.42+/-0.05 dlogz:1.061>0.1]
544it [07:48,  1.64it/s, bound:0 nc:  2 ncall:1.5e+03 eff:35.5% logz-ratio=144.42+/-0.05 dlogz:1.056>0.1]
547it [07:49,  1.86it/s, bound:0 nc: 10 ncall:1.5e+03 eff:35.4% logz-ratio=144.43+/-0.05 dlogz:1.049>0.1]
549it [07:50,  1.85it/s, bound:0 nc:  4 ncall:1.6e+03 eff:35.4% logz-ratio=144.43+/-0.05 dlogz:1.044>0.1]
551it [07:51,  1.89it/s, bound:0 nc:  7 ncall:1.6e+03 eff:35.3% logz-ratio=144.43+/-0.05 dlogz:1.039>0.1]
552it [07:52,  1.47it/s, bound:0 nc:  3 ncall:1.6e+03 eff:35.3% logz-ratio=144.43+/-0.05 dlogz:1.036>0.1]
555it [07:53,  1.71it/s, bound:0 nc:  2 ncall:1.6e+03 eff:35.3% logz-ratio=144.44+/-0.05 dlogz:1.029>0.1]
561it [07:54,  2.14it/s, bound:0 nc:  5 ncall:1.6e+03 eff:35.4% logz-ratio=144.45+/-0.05 dlogz:1.014>0.1]
