frequency,plus,cross
57.0,(1.147691482752611e-24-2.0496334754161974e-23j),(2.0430769010933e-23+1.1441555714167642e-24j)
57.5,(6.075971540237449e-25+2.043980513569997e-23j),(-2.0374493127858996e-23+6.055276450469414e-25j)
58.0,(-2.2693851419237548e-24-2.030077701680322e-23j),(2.0235968086214405e-23-2.2620348144400627e-24j)
58.5,(3.9143860662039414e-24+2.012014300235035e-23j),(-2.0055945294520867e-23+3.901817268533571e-24j)
59.0,(-5.6144191019221335e-24-1.983739697240917e-23j),(1.977412053673886e-23-5.596447062525384e-24j)
59.5,(7.345387449172422e-24+1.9358895929913706e-23j),(-1.9297165981696867e-23+7.321902862855307e-24j)
60.0,(-9.023335963181691e-24-1.8644341854396632e-23j),(1.8584920420479455e-23-8.99450717095839e-24j)
60.5,(1.055600400474729e-23+1.7721867867810004e-23j),(-1.7665425202127784e-23+1.052230447745794e-23j)
61.0,(-1.189705485066135e-23-1.6657784466985502e-23j),(1.6604770429595007e-23-1.1859111105212723e-23j)
61.5,(1.3042904130789259e-23+1.5529194343432177e-23j),(-1.5479803321994578e-23+1.300135157378192e-23j)
62.0,(-1.402794278314835e-23-1.4388059062912135e-23j),(1.434231483827327e-23-1.3983299201925227e-23j)
62.5,(1.4891539645313808e-23+1.325032063341727e-23j),(-1.3208197601394423e-23+1.4844189619144736e-23j)
63.0,(-1.5654662625337197e-23-1.2116290305044969e-23j),(1.2077765575883307e-23-1.5604920108377725e-23j)
63.5,(1.6335206357754084e-23+1.0985075672430285e-23j),(-1.095012974680955e-23+1.6283327417247594e-23j)
64.0,(-1.695049942187614e-23-9.853787073176256e-24j),(9.822417489329144e-24-1.6896679428691956e-23j)
64.5,(1.75118085308499e-23+8.70416044310294e-24j),(-8.676426239400796e-24+1.74562072174381e-23j)
65.0,(-1.801134532372946e-23-7.517239219443816e-24j),(7.493265804347063e-24-1.7954149579097226e-23j)
65.5,(1.8426078610246884e-23+6.2823817459236295e-24j),(-6.262332100870702e-24+1.8367554244399323e-23j)
66.0,(-1.8728962434700487e-23-5.008554696863395e-24j),(4.992563039537274e-24-1.8669467824096512e-23j)
