
0it [00:00, ?it/s]
545it [07:35,  2.30it/s, bound:0 nc:  5 ncall:1.6e+03 eff:35.0% logz-ratio=-41.20+/-0.14 dlogz:206.272>0.1]
549it [07:36,  2.43it/s, bound:0 nc:  9 ncall:1.6e+03 eff:34.9% logz-ratio=-39.85+/-0.14 dlogz:204.842>0.1]
557it [07:38,  2.90it/s, bound:0 nc:  5 ncall:1.6e+03 eff:35.0% logz-ratio=-35.37+/-0.15 dlogz:200.480>0.1]
561it [07:39,  2.85it/s, bound:0 nc:  9 ncall:1.6e+03 eff:34.8% logz-ratio=-34.21+/-0.15 dlogz:199.108>0.1]
564it [07:41,  2.60it/s, bound:0 nc:  4 ncall:1.6e+03 eff:34.8% logz-ratio=-33.43+/-0.14 dlogz:198.358>0.1]
571it [07:42,  3.00it/s, bound:0 nc:  4 ncall:1.6e+03 eff:34.9% logz-ratio=-31.38+/-0.14 dlogz:196.324>0.1]
576it [07:43,  3.16it/s, bound:0 nc:  5 ncall:1.7e+03 eff:34.8% logz-ratio=-30.21+/-0.14 dlogz:195.017>0.1]
581it [07:45,  3.25it/s, bound:0 nc:  3 ncall:1.7e+03 eff:34.8% logz-ratio=-29.07+/-0.14 dlogz:193.917>0.1]
586it [07:46,  3.32it/s, bound:0 nc: 10 ncall:1.7e+03 eff:34.7% logz-ratio=-28.03+/-0.14 dlogz:192.801>0.1]
591it [07:48,  3.40it/s, bound:0 nc:  2 ncall:1.7e+03 eff:34.7% logz-ratio=-26.50+/-0.14 dlogz:191.335>0.1]
596it [07:49,  3.46it/s, bound:0 nc:  6 ncall:1.7e+03 eff:34.6% logz-ratio=-25.42+/-0.14 dlogz:190.224>0.1]
599it [07:50,  2.96it/s, bound:0 nc:  1 ncall:1.7e+03 eff:34.6% logz-ratio=-24.85+/-0.14 dlogz:189.600>0.1]
606it [07:52,  3.41it/s, bound:0 nc:  5 ncall:1.8e+03 eff:34.6% logz-ratio=-23.49+/-0.14 dlogz:188.225>0.1]
610it [07:53,  3.25it/s, bound:0 nc: 11 ncall:1.8e+03 eff:34.4% logz-ratio=-22.64+/-0.14 dlogz:187.479>0.1]
615it [07:55,  3.37it/s, bound:0 nc:  6 ncall:1.8e+03 eff:34.5% logz-ratio=-21.41+/-0.14 dlogz:186.163>0.1]
621it [07:56,  3.63it/s, bound:0 nc:  6 ncall:1.8e+03 eff:34.5% logz-ratio=-19.69+/-0.14 dlogz:184.550>0.1]
624it [07:57,  2.99it/s, bound:0 nc:  4 ncall:1.8e+03 eff:34.4% logz-ratio=-18.88+/-0.14 dlogz:183.624>0.1]
628it [07:59,  2.95it/s, bound:0 nc:  6 ncall:1.8e+03 eff:34.3% logz-ratio=-18.10+/-0.14 dlogz:182.832>0.1]
635it [08:00,  3.36it/s, bound:0 nc:  3 ncall:1.8e+03 eff:34.4% logz-ratio=-16.47+/-0.14 dlogz:181.163>0.1]
