
0it [00:00, ?it/s]
430it [06:31,  4.27it/s, bound:0 nc:  3 ncall:1.2e+03 eff:37.1% logz-ratio=148.94+/-0.05 dlogz:3.439>0.1]
435it [06:32,  4.79it/s, bound:0 nc:  4 ncall:1.2e+03 eff:37.3% logz-ratio=148.95+/-0.05 dlogz:3.417>0.1]
438it [06:32,  4.65it/s, bound:0 nc:  2 ncall:1.2e+03 eff:37.3% logz-ratio=148.96+/-0.05 dlogz:3.405>0.1]
442it [06:33,  4.91it/s, bound:0 nc:  3 ncall:1.2e+03 eff:37.4% logz-ratio=148.97+/-0.05 dlogz:3.388>0.1]
445it [06:34,  4.46it/s, bound:0 nc:  2 ncall:1.2e+03 eff:37.4% logz-ratio=148.97+/-0.05 dlogz:3.375>0.1]
447it [06:35,  3.59it/s, bound:0 nc:  7 ncall:1.2e+03 eff:37.2% logz-ratio=148.98+/-0.05 dlogz:3.367>0.1]
450it [06:35,  3.64it/s, bound:0 nc:  3 ncall:1.2e+03 eff:37.3% logz-ratio=148.99+/-0.05 dlogz:3.354>0.1]
453it [06:36,  3.79it/s, bound:0 nc:  1 ncall:1.2e+03 eff:37.3% logz-ratio=148.99+/-0.05 dlogz:3.342>0.1]
459it [06:37,  4.50it/s, bound:0 nc:  2 ncall:1.2e+03 eff:37.6% logz-ratio=149.01+/-0.05 dlogz:3.317>0.1]
464it [06:38,  5.00it/s, bound:0 nc:  2 ncall:1.2e+03 eff:37.7% logz-ratio=149.02+/-0.05 dlogz:3.296>0.1]
467it [06:38,  4.54it/s, bound:0 nc:  6 ncall:1.2e+03 eff:37.6% logz-ratio=149.03+/-0.05 dlogz:3.283>0.1]
469it [06:39,  3.77it/s, bound:0 nc:  5 ncall:1.2e+03 eff:37.6% logz-ratio=149.03+/-0.05 dlogz:3.275>0.1]
470it [06:40,  2.50it/s, bound:0 nc:  7 ncall:1.3e+03 eff:37.4% logz-ratio=149.03+/-0.05 dlogz:3.270>0.1]
473it [06:41,  2.84it/s, bound:0 nc:  7 ncall:1.3e+03 eff:37.3% logz-ratio=149.04+/-0.05 dlogz:3.258>0.1]
474it [06:41,  2.13it/s, bound:0 nc:  4 ncall:1.3e+03 eff:37.3% logz-ratio=149.04+/-0.05 dlogz:3.254>0.1]
475it [06:42,  1.74it/s, bound:0 nc:  6 ncall:1.3e+03 eff:37.2% logz-ratio=149.04+/-0.05 dlogz:3.250>0.1]
476it [06:43,  1.60it/s, bound:0 nc:  9 ncall:1.3e+03 eff:37.0% logz-ratio=149.05+/-0.05 dlogz:3.245>0.1]
481it [06:44,  2.08it/s, bound:0 nc:  5 ncall:1.3e+03 eff:37.1% logz-ratio=149.06+/-0.05 dlogz:3.225>0.1]
483it [06:44,  2.18it/s, bound:0 nc:  3 ncall:1.3e+03 eff:37.1% logz-ratio=149.06+/-0.05 dlogz:3.216>0.1]
486it [06:45,  2.44it/s, bound:0 nc:  5 ncall:1.3e+03 eff:37.0% logz-ratio=149.07+/-0.05 dlogz:3.204>0.1]
488it [06:46,  2.44it/s, bound:0 nc:  9 ncall:1.3e+03 eff:36.9% logz-ratio=149.07+/-0.05 dlogz:3.196>0.1]
490it [06:47,  2.41it/s, bound:0 nc:  2 ncall:1.3e+03 eff:37.0% logz-ratio=149.08+/-0.05 dlogz:3.187>0.1]
493it [06:48,  2.60it/s, bound:0 nc:  6 ncall:1.3e+03 eff:36.9% logz-ratio=149.09+/-0.05 dlogz:3.175>0.1]
496it [06:49,  2.73it/s, bound:0 nc:  2 ncall:1.3e+03 eff:37.0% logz-ratio=149.09+/-0.05 dlogz:3.163>0.1]
501it [06:50,  3.19it/s, bound:0 nc:  1 ncall:1.3e+03 eff:37.1% logz-ratio=149.10+/-0.05 dlogz:3.142>0.1]
505it [06:51,  3.52it/s, bound:0 nc:  6 ncall:1.4e+03 eff:37.1% logz-ratio=149.11+/-0.05 dlogz:3.126>0.1]
508it [06:52,  3.45it/s, bound:0 nc:  4 ncall:1.4e+03 eff:37.1% logz-ratio=149.12+/-0.05 dlogz:3.113>0.1]
510it [06:53,  2.85it/s, bound:0 nc:  2 ncall:1.4e+03 eff:37.1% logz-ratio=149.13+/-0.05 dlogz:3.105>0.1]
515it [06:54,  3.26it/s, bound:0 nc:  2 ncall:1.4e+03 eff:37.3% logz-ratio=149.14+/-0.05 dlogz:3.085>0.1]
518it [06:55,  3.22it/s, bound:0 nc:  2 ncall:1.4e+03 eff:37.3% logz-ratio=149.14+/-0.05 dlogz:3.072>0.1]
521it [06:56,  3.26it/s, bound:0 nc:  1 ncall:1.4e+03 eff:37.3% logz-ratio=149.15+/-0.05 dlogz:3.060>0.1]
524it [06:56,  3.33it/s, bound:0 nc:  2 ncall:1.4e+03 eff:37.3% logz-ratio=149.16+/-0.05 dlogz:3.048>0.1]
527it [06:57,  3.37it/s, bound:0 nc:  3 ncall:1.4e+03 eff:37.3% logz-ratio=149.16+/-0.05 dlogz:3.036>0.1]
531it [06:58,  3.63it/s, bound:0 nc:  1 ncall:1.4e+03 eff:37.4% logz-ratio=149.17+/-0.05 dlogz:3.019>0.1]
534it [06:59,  3.54it/s, bound:0 nc:  4 ncall:1.4e+03 eff:37.4% logz-ratio=149.18+/-0.05 dlogz:3.007>0.1]
538it [07:00,  3.88it/s, bound:0 nc:  5 ncall:1.4e+03 eff:37.4% logz-ratio=149.19+/-0.05 dlogz:2.991>0.1]
540it [07:01,  3.18it/s, bound:0 nc:  5 ncall:1.4e+03 eff:37.3% logz-ratio=149.19+/-0.05 dlogz:2.983>0.1]
