
0it [00:00, ?it/s]
359it [07:15,  3.22it/s, bound:0 nc:  2 ncall:1.0e+03 eff:35.7% logz-ratio=-131.61+/-0.14 dlogz:251.058>0.1]
363it [07:18,  2.40it/s, bound:0 nc: 11 ncall:1.0e+03 eff:35.5% logz-ratio=-127.89+/-0.15 dlogz:247.537>0.1]
367it [07:19,  2.57it/s, bound:0 nc:  4 ncall:1.0e+03 eff:35.7% logz-ratio=-126.17+/-0.15 dlogz:245.531>0.1]
374it [07:20,  3.00it/s, bound:0 nc:  1 ncall:1.0e+03 eff:36.1% logz-ratio=-123.75+/-0.14 dlogz:242.907>0.1]
380it [07:22,  3.29it/s, bound:0 nc:  4 ncall:1.0e+03 eff:36.3% logz-ratio=-121.53+/-0.14 dlogz:240.773>0.1]
383it [07:23,  2.87it/s, bound:0 nc:  2 ncall:1.1e+03 eff:36.4% logz-ratio=-120.60+/-0.14 dlogz:239.776>0.1]
386it [07:24,  2.70it/s, bound:0 nc:  6 ncall:1.1e+03 eff:36.3% logz-ratio=-119.55+/-0.14 dlogz:238.752>0.1]
390it [07:26,  2.86it/s, bound:0 nc:  6 ncall:1.1e+03 eff:36.4% logz-ratio=-118.51+/-0.14 dlogz:237.581>0.1]
394it [07:27,  2.98it/s, bound:0 nc:  1 ncall:1.1e+03 eff:36.6% logz-ratio=-116.40+/-0.14 dlogz:235.619>0.1]
399it [07:28,  3.20it/s, bound:0 nc:  2 ncall:1.1e+03 eff:36.8% logz-ratio=-114.73+/-0.14 dlogz:233.884>0.1]
404it [07:29,  3.37it/s, bound:0 nc:  4 ncall:1.1e+03 eff:36.9% logz-ratio=-112.45+/-0.14 dlogz:231.634>0.1]
407it [07:31,  2.93it/s, bound:0 nc:  2 ncall:1.1e+03 eff:37.0% logz-ratio=-111.44+/-0.14 dlogz:230.646>0.1]
410it [07:32,  2.65it/s, bound:0 nc:  3 ncall:1.1e+03 eff:36.9% logz-ratio=-109.47+/-0.15 dlogz:228.850>0.1]
415it [07:33,  2.93it/s, bound:0 nc:  2 ncall:1.1e+03 eff:37.1% logz-ratio=-107.08+/-0.15 dlogz:226.234>0.1]
419it [07:35,  2.98it/s, bound:0 nc:  2 ncall:1.1e+03 eff:37.2% logz-ratio=-105.82+/-0.14 dlogz:224.965>0.1]
424it [07:36,  3.18it/s, bound:0 nc:  3 ncall:1.1e+03 eff:37.4% logz-ratio=-104.67+/-0.14 dlogz:223.647>0.1]
427it [07:37,  2.79it/s, bound:0 nc:  2 ncall:1.1e+03 eff:37.4% logz-ratio=-103.97+/-0.14 dlogz:223.005>0.1]
431it [07:39,  2.81it/s, bound:0 nc:  2 ncall:1.2e+03 eff:37.5% logz-ratio=-102.96+/-0.14 dlogz:222.009>0.1]
436it [07:40,  2.99it/s, bound:0 nc:  1 ncall:1.2e+03 eff:37.7% logz-ratio=-101.34+/-0.14 dlogz:220.556>0.1]
438it [07:42,  2.32it/s, bound:0 nc:  3 ncall:1.2e+03 eff:37.6% logz-ratio=-100.55+/-0.14 dlogz:219.640>0.1]
442it [07:43,  2.43it/s, bound:0 nc:  1 ncall:1.2e+03 eff:37.7% logz-ratio=-98.67+/-0.15 dlogz:217.880>0.1] 
447it [07:44,  2.71it/s, bound:0 nc:  3 ncall:1.2e+03 eff:37.8% logz-ratio=-96.64+/-0.14 dlogz:215.709>0.1]
451it [07:46,  2.74it/s, bound:0 nc:  6 ncall:1.2e+03 eff:37.8% logz-ratio=-95.40+/-0.14 dlogz:214.517>0.1]
453it [07:47,  2.27it/s, bound:0 nc:  4 ncall:1.2e+03 eff:37.8% logz-ratio=-94.31+/-0.15 dlogz:213.644>0.1]
455it [07:48,  1.97it/s, bound:0 nc:  3 ncall:1.2e+03 eff:37.8% logz-ratio=-93.31+/-0.15 dlogz:212.462>0.1]
460it [07:50,  2.30it/s, bound:0 nc:  4 ncall:1.2e+03 eff:37.8% logz-ratio=-91.36+/-0.15 dlogz:210.492>0.1]
464it [07:51,  2.46it/s, bound:0 nc:  3 ncall:1.2e+03 eff:38.0% logz-ratio=-89.48+/-0.15 dlogz:208.598>0.1]
467it [07:52,  2.37it/s, bound:0 nc:  3 ncall:1.2e+03 eff:38.0% logz-ratio=-87.62+/-0.15 dlogz:207.014>0.1]
473it [07:54,  2.76it/s, bound:0 nc:  7 ncall:1.2e+03 eff:38.1% logz-ratio=-85.79+/-0.14 dlogz:204.731>0.1]
476it [07:55,  2.54it/s, bound:0 nc:  1 ncall:1.2e+03 eff:38.2% logz-ratio=-85.03+/-0.14 dlogz:203.983>0.1]
479it [07:56,  2.44it/s, bound:0 nc:  3 ncall:1.3e+03 eff:38.2% logz-ratio=-84.22+/-0.14 dlogz:203.143>0.1]
485it [07:58,  2.81it/s, bound:0 nc:  1 ncall:1.3e+03 eff:38.5% logz-ratio=-82.03+/-0.14 dlogz:201.050>0.1]
490it [07:59,  2.96it/s, bound:0 nc:  8 ncall:1.3e+03 eff:38.5% logz-ratio=-80.28+/-0.14 dlogz:199.231>0.1]
493it [08:01,  2.64it/s, bound:0 nc:  2 ncall:1.3e+03 eff:38.6% logz-ratio=-79.31+/-0.14 dlogz:198.280>0.1]
496it [08:02,  2.45it/s, bound:0 nc:  5 ncall:1.3e+03 eff:38.5% logz-ratio=-78.49+/-0.14 dlogz:197.400>0.1]
500it [08:05,  2.10it/s, bound:0 nc: 10 ncall:1.3e+03 eff:38.4% logz-ratio=-76.80+/-0.15 dlogz:195.971>0.1]
503it [08:06,  2.16it/s, bound:0 nc:  5 ncall:1.3e+03 eff:38.4% logz-ratio=-75.80+/-0.14 dlogz:194.679>0.1]
507it [08:07,  2.41it/s, bound:0 nc:  1 ncall:1.3e+03 eff:38.5% logz-ratio=-74.87+/-0.14 dlogz:193.723>0.1]
510it [08:09,  2.37it/s, bound:0 nc:  3 ncall:1.3e+03 eff:38.5% logz-ratio=-74.17+/-0.14 dlogz:193.066>0.1]
515it [08:10,  2.68it/s, bound:0 nc:  2 ncall:1.3e+03 eff:38.6% logz-ratio=-72.33+/-0.14 dlogz:191.230>0.1]
518it [08:11,  2.57it/s, bound:0 nc:  3 ncall:1.3e+03 eff:38.6% logz-ratio=-71.50+/-0.14 dlogz:190.371>0.1]
521it [08:12,  2.49it/s, bound:0 nc:  8 ncall:1.4e+03 eff:38.5% logz-ratio=-70.40+/-0.14 dlogz:189.427>0.1]
522it [08:14,  1.47it/s, bound:0 nc:  2 ncall:1.4e+03 eff:38.5% logz-ratio=-70.01+/-0.15 dlogz:188.986>0.1]
525it [08:15,  1.63it/s, bound:0 nc:  1 ncall:1.4e+03 eff:38.5% logz-ratio=-69.13+/-0.14 dlogz:187.980>0.1]
530it [08:17,  1.95it/s, bound:0 nc:  2 ncall:1.4e+03 eff:38.6% logz-ratio=-66.96+/-0.15 dlogz:185.935>0.1]
535it [08:18,  2.25it/s, bound:0 nc:  2 ncall:1.4e+03 eff:38.7% logz-ratio=-65.04+/-0.15 dlogz:184.208>0.1]
538it [08:19,  2.16it/s, bound:0 nc:  4 ncall:1.4e+03 eff:38.7% logz-ratio=-63.39+/-0.15 dlogz:182.484>0.1]
540it [08:21,  1.85it/s, bound:0 nc:  3 ncall:1.4e+03 eff:38.6% logz-ratio=-62.50+/-0.15 dlogz:181.471>0.1]
542it [08:22,  1.74it/s, bound:0 nc:  3 ncall:1.4e+03 eff:38.5% logz-ratio=-61.80+/-0.15 dlogz:180.675>0.1]
544it [08:24,  1.62it/s, bound:0 nc:  2 ncall:1.4e+03 eff:38.5% logz-ratio=-61.21+/-0.15 dlogz:180.048>0.1]
547it [08:25,  1.77it/s, bound:0 nc:  9 ncall:1.4e+03 eff:38.3% logz-ratio=-59.97+/-0.15 dlogz:178.945>0.1]
548it [08:26,  1.28it/s, bound:0 nc:  3 ncall:1.4e+03 eff:38.3% logz-ratio=-59.56+/-0.15 dlogz:178.501>0.1]
553it [08:28,  1.59it/s, bound:0 nc:  2 ncall:1.4e+03 eff:38.5% logz-ratio=-57.86+/-0.14 dlogz:176.701>0.1]
556it [08:29,  1.76it/s, bound:0 nc:  2 ncall:1.4e+03 eff:38.5% logz-ratio=-56.66+/-0.15 dlogz:175.625>0.1]
561it [08:30,  2.07it/s, bound:0 nc:  4 ncall:1.5e+03 eff:38.6% logz-ratio=-54.69+/-0.15 dlogz:173.746>0.1]
562it [08:32,  1.36it/s, bound:0 nc:  7 ncall:1.5e+03 eff:38.4% logz-ratio=-54.11+/-0.15 dlogz:173.197>0.1]
564it [08:33,  1.38it/s, bound:0 nc:  1 ncall:1.5e+03 eff:38.4% logz-ratio=-53.16+/-0.15 dlogz:172.150>0.1]
569it [08:34,  1.72it/s, bound:0 nc:  5 ncall:1.5e+03 eff:38.4% logz-ratio=-50.76+/-0.15 dlogz:169.766>0.1]
570it [08:36,  1.24it/s, bound:0 nc:  6 ncall:1.5e+03 eff:38.3% logz-ratio=-50.30+/-0.15 dlogz:169.255>0.1]
572it [08:37,  1.31it/s, bound:0 nc:  6 ncall:1.5e+03 eff:38.2% logz-ratio=-49.50+/-0.15 dlogz:168.386>0.1]
573it [08:38,  1.04it/s, bound:0 nc:  5 ncall:1.5e+03 eff:38.2% logz-ratio=-49.08+/-0.15 dlogz:167.989>0.1]
576it [08:40,  1.22it/s, bound:0 nc:  9 ncall:1.5e+03 eff:38.1% logz-ratio=-48.11+/-0.15 dlogz:166.855>0.1]
578it [08:42,  1.07it/s, bound:0 nc: 10 ncall:1.5e+03 eff:37.9% logz-ratio=-47.60+/-0.14 dlogz:166.318>0.1]
580it [08:44,  1.17it/s, bound:0 nc:  7 ncall:1.5e+03 eff:37.8% logz-ratio=-47.22+/-0.14 dlogz:165.868>0.1]
583it [08:45,  1.38it/s, bound:0 nc:  3 ncall:1.5e+03 eff:37.8% logz-ratio=-46.71+/-0.14 dlogz:165.369>0.1]
586it [08:46,  1.58it/s, bound:0 nc:  1 ncall:1.5e+03 eff:37.8% logz-ratio=-46.05+/-0.14 dlogz:164.743>0.1]
590it [08:48,  1.80it/s, bound:0 nc:  3 ncall:1.6e+03 eff:37.9% logz-ratio=-45.15+/-0.14 dlogz:163.792>0.1]
596it [08:49,  2.18it/s, bound:0 nc:  8 ncall:1.6e+03 eff:37.9% logz-ratio=-44.09+/-0.14 dlogz:162.711>0.1]
597it [08:50,  1.32it/s, bound:0 nc:  3 ncall:1.6e+03 eff:37.9% logz-ratio=-43.88+/-0.14 dlogz:162.529>0.1]
600it [08:52,  1.49it/s, bound:0 nc:  3 ncall:1.6e+03 eff:38.0% logz-ratio=-43.27+/-0.14 dlogz:161.894>0.1]
601it [08:53,  1.09it/s, bound:0 nc: 13 ncall:1.6e+03 eff:37.7% logz-ratio=-43.11+/-0.14 dlogz:161.703>0.1]
602it [08:55,  1.08s/it, bound:0 nc:  3 ncall:1.6e+03 eff:37.7% logz-ratio=-42.92+/-0.14 dlogz:161.533>0.1]
605it [08:56,  1.11it/s, bound:0 nc:  2 ncall:1.6e+03 eff:37.7% logz-ratio=-41.97+/-0.14 dlogz:160.749>0.1]
607it [08:58,  1.19it/s, bound:0 nc:  2 ncall:1.6e+03 eff:37.6% logz-ratio=-41.24+/-0.15 dlogz:160.062>0.1]
612it [08:59,  1.48it/s, bound:0 nc:  1 ncall:1.6e+03 eff:37.8% logz-ratio=-39.28+/-0.15 dlogz:157.950>0.1]
614it [09:00,  1.50it/s, bound:0 nc:  7 ncall:1.6e+03 eff:37.7% logz-ratio=-38.85+/-0.14 dlogz:157.453>0.1]
616it [09:02,  1.54it/s, bound:0 nc: 13 ncall:1.6e+03 eff:37.5% logz-ratio=-38.50+/-0.14 dlogz:157.075>0.1]
617it [09:03,  1.27it/s, bound:0 nc:  2 ncall:1.6e+03 eff:37.5% logz-ratio=-38.33+/-0.14 dlogz:156.898>0.1]
619it [09:04,  1.33it/s, bound:0 nc:  5 ncall:1.7e+03 eff:37.4% logz-ratio=-37.96+/-0.14 dlogz:156.550>0.1]
620it [09:05,  1.08it/s, bound:0 nc: 11 ncall:1.7e+03 eff:37.2% logz-ratio=-37.77+/-0.14 dlogz:156.352>0.1]
622it [09:07,  1.19it/s, bound:0 nc:  1 ncall:1.7e+03 eff:37.3% logz-ratio=-37.29+/-0.14 dlogz:155.955>0.1]
626it [09:08,  1.48it/s, bound:0 nc:  2 ncall:1.7e+03 eff:37.3% logz-ratio=-35.85+/-0.15 dlogz:154.597>0.1]
628it [09:09,  1.51it/s, bound:0 nc:  8 ncall:1.7e+03 eff:37.1% logz-ratio=-35.19+/-0.15 dlogz:153.901>0.1]
629it [09:10,  1.20it/s, bound:0 nc:  3 ncall:1.7e+03 eff:37.1% logz-ratio=-34.89+/-0.15 dlogz:153.565>0.1]
630it [09:12,  1.07it/s, bound:0 nc:  7 ncall:1.7e+03 eff:37.0% logz-ratio=-34.62+/-0.15 dlogz:153.264>0.1]
632it [09:13,  1.21it/s, bound:0 nc:  6 ncall:1.7e+03 eff:37.0% logz-ratio=-34.08+/-0.14 dlogz:152.700>0.1]
634it [09:14,  1.35it/s, bound:0 nc:  2 ncall:1.7e+03 eff:36.9% logz-ratio=-33.64+/-0.14 dlogz:152.216>0.1]
640it [09:15,  1.74it/s, bound:0 nc:  3 ncall:1.7e+03 eff:37.1% logz-ratio=-32.30+/-0.14 dlogz:150.932>0.1]
641it [09:16,  1.40it/s, bound:0 nc: 13 ncall:1.7e+03 eff:36.8% logz-ratio=-31.87+/-0.15 dlogz:150.651>0.1]
642it [09:17,  1.19it/s, bound:0 nc:  1 ncall:1.7e+03 eff:36.9% logz-ratio=-31.40+/-0.15 dlogz:150.215>0.1]
644it [09:18,  1.31it/s, bound:0 nc:  4 ncall:1.8e+03 eff:36.8% logz-ratio=-30.65+/-0.15 dlogz:149.331>0.1]
646it [09:21,  1.14it/s, bound:0 nc: 18 ncall:1.8e+03 eff:36.5% logz-ratio=-30.11+/-0.15 dlogz:148.731>0.1]
648it [09:22,  1.29it/s, bound:0 nc:  4 ncall:1.8e+03 eff:36.5% logz-ratio=-29.61+/-0.15 dlogz:148.167>0.1]
649it [09:23,  1.17it/s, bound:0 nc: 11 ncall:1.8e+03 eff:36.3% logz-ratio=-29.42+/-0.14 dlogz:147.940>0.1]
651it [09:24,  1.30it/s, bound:0 nc:  6 ncall:1.8e+03 eff:36.3% logz-ratio=-29.09+/-0.14 dlogz:147.580>0.1]
652it [09:25,  1.20it/s, bound:0 nc:  3 ncall:1.8e+03 eff:36.3% logz-ratio=-28.94+/-0.14 dlogz:147.420>0.1]
654it [09:26,  1.38it/s, bound:0 nc:  5 ncall:1.8e+03 eff:36.2% logz-ratio=-28.61+/-0.14 dlogz:147.098>0.1]
658it [09:27,  1.72it/s, bound:0 nc:  3 ncall:1.8e+03 eff:36.3% logz-ratio=-27.88+/-0.14 dlogz:146.378>0.1]
659it [09:27,  1.57it/s, bound:0 nc: 12 ncall:1.8e+03 eff:36.1% logz-ratio=-27.73+/-0.14 dlogz:146.197>0.1]
660it [09:28,  1.43it/s, bound:0 nc:  8 ncall:1.8e+03 eff:36.0% logz-ratio=-27.58+/-0.14 dlogz:146.039>0.1]
661it [09:29,  1.39it/s, bound:0 nc:  5 ncall:1.8e+03 eff:36.0% logz-ratio=-27.44+/-0.14 dlogz:145.893>0.1]
663it [09:30,  1.57it/s, bound:0 nc:  6 ncall:1.8e+03 eff:35.9% logz-ratio=-27.18+/-0.14 dlogz:145.619>0.1]
664it [09:31,  1.44it/s, bound:0 nc:  8 ncall:1.9e+03 eff:35.8% logz-ratio=-27.00+/-0.14 dlogz:145.481>0.1]
669it [09:32,  1.87it/s, bound:0 nc:  1 ncall:1.9e+03 eff:35.9% logz-ratio=-26.22+/-0.14 dlogz:144.653>0.1]
671it [09:32,  2.00it/s, bound:0 nc:  6 ncall:1.9e+03 eff:35.8% logz-ratio=-25.96+/-0.14 dlogz:144.377>0.1]
673it [09:33,  2.05it/s, bound:0 nc:  5 ncall:1.9e+03 eff:35.8% logz-ratio=-25.74+/-0.14 dlogz:144.131>0.1]
675it [09:34,  2.06it/s, bound:0 nc:  2 ncall:1.9e+03 eff:35.8% logz-ratio=-25.53+/-0.13 dlogz:143.917>0.1]
677it [09:35,  2.10it/s, bound:0 nc:  6 ncall:1.9e+03 eff:35.7% logz-ratio=-25.28+/-0.13 dlogz:143.688>0.1]
679it [09:36,  2.11it/s, bound:0 nc:  3 ncall:1.9e+03 eff:35.7% logz-ratio=-25.04+/-0.13 dlogz:143.424>0.1]
682it [09:37,  2.28it/s, bound:0 nc:  4 ncall:1.9e+03 eff:35.7% logz-ratio=-24.65+/-0.13 dlogz:143.069>0.1]
684it [09:39,  1.72it/s, bound:0 nc: 15 ncall:1.9e+03 eff:35.4% logz-ratio=-24.38+/-0.13 dlogz:142.776>0.1]
685it [09:40,  1.57it/s, bound:0 nc:  2 ncall:1.9e+03 eff:35.4% logz-ratio=-24.24+/-0.13 dlogz:142.641>0.1]
690it [09:43,  1.64it/s, bound:0 nc: 17 ncall:2.0e+03 eff:35.3% logz-ratio=-23.56+/-0.14 dlogz:141.956>0.1]
691it [09:44,  1.23it/s, bound:0 nc:  7 ncall:2.0e+03 eff:35.2% logz-ratio=-23.42+/-0.14 dlogz:141.812>0.1]
693it [09:45,  1.27it/s, bound:0 nc:  8 ncall:2.0e+03 eff:35.1% logz-ratio=-23.10+/-0.14 dlogz:141.507>0.1]
694it [09:47,  1.02s/it, bound:0 nc:  2 ncall:2.0e+03 eff:35.2% logz-ratio=-22.95+/-0.14 dlogz:141.344>0.1]
700it [09:48,  1.28it/s, bound:0 nc:  2 ncall:2.0e+03 eff:35.3% logz-ratio=-22.04+/-0.14 dlogz:140.411>0.1]
702it [09:50,  1.33it/s, bound:0 nc:  9 ncall:2.0e+03 eff:35.2% logz-ratio=-21.77+/-0.14 dlogz:140.136>0.1]
703it [09:55,  2.09s/it, bound:0 nc: 31 ncall:2.0e+03 eff:34.7% logz-ratio=-21.63+/-0.14 dlogz:139.995>0.1]
706it [09:56,  1.59s/it, bound:0 nc:  8 ncall:2.0e+03 eff:34.7% logz-ratio=-21.17+/-0.14 dlogz:139.574>0.1]
